Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto (CPC),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1991","1991","toneladas","34000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1992","1992","toneladas","35000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1993","1993","toneladas","34000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1994","1994","toneladas","35984.64","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1995","1995","toneladas","36000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1996","1996","toneladas","38000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1997","1997","toneladas","36000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1998","1998","toneladas","38000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","1999","1999","toneladas","32000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2000","2000","toneladas","39000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2001","2001","toneladas","40000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2002","2002","toneladas","42623.44","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2003","2003","toneladas","43831.09","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2004","2004","toneladas","42942.22","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2005","2005","toneladas","50000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2006","2006","toneladas","75000","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2007","2007","toneladas","82361","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2008","2008","toneladas","95422","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2009","2009","toneladas","291943","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2010","2010","toneladas","313365","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2011","2011","toneladas","326352","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2012","2012","toneladas","280906","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2013","2013","toneladas","479357","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2014","2014","toneladas","599155.94","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2015","2015","toneladas","626585","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2016","2016","toneladas","568365.98","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2017","2017","toneladas","564398.01","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2018","2018","toneladas","569666.42","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2019","2019","toneladas","574155","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2020","2020","toneladas","637630","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","024","Angola","5510","Producción","01318","Piña tropical","2021","2021","toneladas","663263","A","Cifra oficial"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1985","1985","ha","8","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1986","1986","ha","8","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1987","1987","ha","8","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1988","1988","ha","11","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1989","1989","ha","11","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1990","1990","ha","12","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1991","1991","ha","13","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1992","1992","ha","15","E","Valor estimado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1993","1993","ha","14","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1994","1994","ha","13","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1995","1995","ha","12","I","Valor imputado"
"QCL","Cultivos y productos de ganadería","028","Antigua y Barbuda","5312","Área cosechada","01318","Piña tropical","1996","1996","ha","13","I","Valor imputado"
